GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
416553234,20150312,201503,2015,2015.1973,INDLEG,ANDHRA PRADESH,IND,,,,,LEG,,,INDGOVELI,MANMOHAN SINGH,IND,,,,,GOV,ELI,,1,051,051,05,1,3.4,20,1,10,4.77815699658703,0,,,,,,,0,,,,,,,0,,,,,,,20150312,http://www.business-standard.com/article/pti-stories/ap-congress-expresses-solidarity-with-manmohan-singh-115031201381_1.html
438381360,20150604,201506,2015,2015.4219,INDLEG,TAMIL NADU,IND,,,,,LEG,,,INDGOV,KARNATAKA,IND,,,,,GOV,,,0,051,051,05,1,3.4,2,1,2,-0.55991041433371,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,11.0,78.0,-2112557,5,"Karnataka, Karnataka, India",IN,IN19,13.5,76.0,-2099860,5,"Karnataka, Karnataka, India",IN,IN19,13.5,76.0,-2099860,20150604,https://abdulruff.wordpress.com/2015/06/04/unstoppable-indian-corruption-tamil-nadu-cm-jayalalithaas-illegal-asset-case-to-go-to-supreme-court-part-2/
336500251,20150212,201502,2015,2015.1151,INDLEG,NEW DELHI,IND,,,,,LEG,,,,,,,,,,,,,1,051,051,05,1,3.4,5,5,5,4.62881462892214,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,0,,,,,,,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20150212,http://www.todayonline.com/chinaindia/india/once-scorned-delhi-election-winner-gets-second-chance
437825573,20150602,201506,2015,2015.4164,INDLEG,TAMIL NADU,IND,,,,,LEG,,,INDGOV,KARNATAKA,IND,,,,,GOV,,,0,051,051,05,1,3.4,2,1,2,0.0551876379690999,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,11.0,78.0,-2112557,5,"Karnataka, Karnataka, India",IN,IN19,13.5,76.0,-2099860,5,"Karnataka, Karnataka, India",IN,IN19,13.5,76.0,-2099860,20150602,https://abdulruff.wordpress.com/2015/06/02/jayalalithaas-illegal-asset-case-karnataka-to-appeal-in-supreme-court/
410507277,20150219,201502,2015,2015.1342,INDLEG,HARYANA,IND,,,,,LEG,,,IND,HARYANA,IND,,,,,,,,0,051,051,05,1,3.4,1,1,1,-2.40811153358681,4,"Nagari, Andhra Pradesh, India",IN,IN02,13.3333,79.5833,-2105336,4,"Nagari, Andhra Pradesh, India",IN,IN02,13.3333,79.5833,-2105336,4,"Nagari, Andhra Pradesh, India",IN,IN02,13.3333,79.5833,-2105336,20150219,http://www.firstpost.com/politics/nitish-manjhi-face-off-bjp-top-brass-wants-to-stay-neutral-no-way-says-bihar-unit-2108307.html
419836072,20150324,201503,2015,2015.2301,INDLEG,DELHI,IND,,,,,LEG,,,CVL,VILLAGE,,,,,,CVL,,,1,051,051,05,1,3.4,1,1,1,-4.22960725075529,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Bawana, Haryana, India",IN,IN10,28.3833,76.1833,-2090845,4,"Bawana, Haryana, India",IN,IN10,28.3833,76.1833,-2090845,20150324,http://indianexpress.com/article/cities/delhi/in-bawana-where-hailstorm-destroyed-crops-congress-looks-to-reap-dividend/
410791904,20150220,201502,2015,2015.137,INDLEG,BIHAR,IND,,,,,LEG,,,,,,,,,,,,,0,051,051,05,1,3.4,38,1,38,-1.50029521442462,4,"Patna, Bihar, India",IN,IN34,25.6,85.1167,-2107500,0,,,,,,,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20150220,http://www.firstpost.com/politics/bihar-live-state-assembly-session-to-begin-at-around-11-am-2086009.html
433248006,20150514,201505,2015,2015.3671,INDLEG,TAMIL NADU,IND,,,,,LEG,,,JUD,HIGH COURT,,,,,,JUD,,,1,051,051,05,1,3.4,2,1,2,-1.18343195266272,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,11.0,78.0,-2112557,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,11.0,78.0,-2112557,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,11.0,78.0,-2112557,20150514,http://www.nyoooz.com/chennai/105157/jaya-verdict-congress-slams-bjps-double-standard
437628823,20150601,201506,2015,2015.4137,INDLEG,TAMIL NADU,IND,,,,,LEG,,,INDGOV,KARNATAKA,IND,,,,,GOV,,,1,051,051,05,1,3.4,22,8,18,3.40129097432711,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,11.0,78.0,-2112557,5,"Karnataka, Karnataka, India",IN,IN19,13.5,76.0,-2099860,5,"Karnataka, Karnataka, India",IN,IN19,13.5,76.0,-2099860,20150601,http://www.business-standard.com/article/pti-stories/tn-opp-parties-welcome-decision-to-appeal-against-jaya-verdict-115060101279_1.html
410326797,20150218,201502,2015,2015.1315,INDLEG,BIHAR,IND,,,,,LEG,,,,,,,,,,,,,1,051,051,05,1,3.4,2,1,2,-1.38335987261147,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,0,,,,,,,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20150218,http://www.firstpost.com/politics/bihar-live-congress-supports-nitish-but-will-bjp-support-manjhi-2086009.html
